mm,nits
6.086365,0.2924157
6.102174,0.3281238
6.117982,0.2360492
6.133791,0.3360186
6.1496,0.2087413
6.165409,0.3348432
6.181218,0.2942733
6.197026,0.3045954
6.212835,0.298865
6.228644,0.2597732
6.244452,0.2880895
6.260261,0.3518098
6.27607,0.2826888
6.291879,0.3662773
6.307687,0.3335935
6.323496,0.3410918
6.339305,0.3342029
6.355114,0.3127299
6.370923,0.3214025
6.386731,0.3049297
6.40254,0.3364766
6.418349,0.3718566
6.434157,0.3302511
6.449966,0.3898503
6.465775,0.3571048
6.481584,0.309182
6.497392,0.2549253
6.513201,0.3640769
6.52901,0.381455
6.544818,0.3355078
6.560627,0.3130493
6.576436,0.3072772
6.592245,0.3709407
6.608054,0.3416188
6.623862,0.3748539
6.639671,0.3889125
6.65548,0.3221029
6.671288,0.3585661
6.687097,0.2759018
6.702906,0.2840313
6.718715,0.3798658
6.734523,0.3411787
6.750332,0.4259303
6.766141,0.4282628
6.78195,0.3395387
6.797759,0.3833667
6.813567,0.3384717
6.829376,0.3233012
6.845185,0.4616196
6.860993,0.3175997
6.876802,0.3026465
6.892611,0.3322131
6.90842,0.4070688
6.924228,0.4130417
6.940037,0.3155903
6.955846,0.307304
6.971654,0.3600444
6.987463,0.3213252
7.003272,0.406952
7.019081,0.3377799
7.03489,0.3746909
7.050698,0.3563552
7.066507,0.3090445
7.082316,0.3471056
7.098125,0.4014307
7.113933,0.3687673
7.129742,0.3265733
7.145551,0.3382572
7.161359,0.3435676
7.177168,0.329609
7.192977,0.3829933
7.208786,0.3357143
7.224595,0.3545157
7.240403,0.3307875
7.256212,0.2899054
7.272021,0.4113931
7.287829,0.4236364
7.303638,0.326932
7.319447,0.5053609
7.335256,0.395376
7.351064,0.3933234
7.366873,0.4228427
7.382682,0.391871
7.39849,0.4504352
7.414299,0.4219017
7.430108,0.3975026
7.445917,0.4750147
7.461725,0.4347511
7.477534,0.4573551
7.493343,0.4542656
7.509151,0.4058647
7.524961,0.4489918
7.540769,0.422792
7.556578,0.3929649
7.572387,0.3880213
7.588195,0.4824476
7.604004,0.5292809
7.619813,0.3870838
7.635622,0.4808998
7.65143,0.510902
7.667239,0.4971342
7.683048,0.4817409
7.698856,0.5105749
7.714665,0.4422573
7.730474,0.4947075
7.746283,0.519471
7.762092,0.4240161
7.7779,0.4725156
7.793709,0.4440416
7.809518,0.6189195
7.825326,0.4392671
7.841135,0.4855092
7.856944,0.4701759
7.872753,0.4987053
7.888561,0.5108249
7.90437,0.5013473
7.920179,0.553755
7.935987,0.5008231
7.951797,0.5068679
7.967605,0.4820339
7.983414,0.4812253
7.999223,0.4091649
8.015032,0.4589272
8.03084,0.604638
8.046649,0.5777344
8.062458,0.4957816
8.078266,0.4520968
8.094075,0.5328709
8.109884,0.5215723
8.125692,0.4941893
8.141501,0.4887523
8.15731,0.4723967
8.173119,0.5605192
8.188928,0.4899226
8.204737,0.4543113
8.220545,0.5473539
8.236354,0.5309089
8.252163,0.4867328
8.267971,0.6156113
8.28378,0.5245727
8.299589,0.4419139
8.315397,0.5399514
8.331206,0.5928726
8.347015,0.6510172
8.362823,0.5583562
8.378633,0.4847301
8.394442,0.5770827
8.41025,0.5954168
8.426059,0.4806111
8.441868,0.6353537
8.457676,0.6561832
8.473485,0.5812089
8.489294,0.5833445
8.505102,0.5649151
8.520911,0.645551
8.53672,0.5943111
8.552528,0.6710033
8.568337,0.6746175
8.584146,0.6793258
8.599955,0.6322571
8.615764,0.6405078
8.631573,0.6686311
8.647381,0.5936463
8.66319,0.5866259
8.678999,0.6776597
8.694807,0.6472734
8.710616,0.6143684
8.726425,0.6896783
8.742233,0.6396359
8.758042,0.6808306
8.77385,0.6120428
8.78966,0.6093616
8.805469,0.7150554
8.821277,0.6888592
8.837086,0.6523815
8.852895,0.5988743
8.868703,0.5955311
8.884512,0.6300494
8.900321,0.6667123
8.916129,0.6966839
8.931938,0.7461129
8.947747,0.7427897
8.963555,0.6097912
8.979364,0.7276142
8.995173,0.6309908
9.010982,0.6375192
9.026791,0.7581297
9.0426,0.6982774
9.058408,0.6459842
9.074217,0.696789
9.090026,0.8352389
9.105834,0.7352552
9.121643,0.698839
9.137452,0.7558502
